Club,sacked,Matchday,Rankpre,preppg,leaving_date,tenure,coach,rankfinal,postppg,league
LOSC Lille,Frédéric Antonetti,13,19,0.77,22-Nov-16,366,Patrick Collot,18,1.33,Ligue 1
Lorient,Franck Haise,12,20,0.5,7-Nov-16,15,Bernard Casoni,18,1.12,Ligue 1
Lorient,Sylvain Ripoll,10,20,0.6,23-Oct-16,845,Franck Haise,20,0.5,Ligue 1
Marseille,Franck Passi,9,12,1.33,19-Oct-16,183,Rudi Garcia,5,1.72,Ligue 1
Nantes,Claudio Ranieri,37,10,1.32,17-May-18,320,Miguel Cardoso,-,-,Ligue 1
Toulouse,Pascal Dupraz,22,19,0.91,22-Jan-18,692,Mickaël Debève,18,1.06,Ligue 1
Bordeaux,Eric Bedouet,22,12,3,20-Jan-18,2,Gustavo Poyet,6,1.81,Ligue 1
Bordeaux,Jocelyn Gourvennec,21,13,1.1,18-Jan-18,566,Eric Bedouet,12,3,Ligue 1
LOSC Lille,Fernando Da Cruz,19,18,1.17,29-Dec-17,37,Christophe Galtier,17,1,Ligue 1
AS Saint Etienne,Julien Sablé,18,16,0.33,19-Dec-17,34,Jean-Louis Gasset,7,1.84,Ligue 1
LOSC Lille,Marcelo Bielsa,8,19,0.92,22-Nov-17,144,Fernando Da Cruz,18,1.17,Ligue 1
AS Saint Etienne,Óscar García,12,6,1.5,15-Nov-17,153,Julien Sablé,16,0.33,Ligue 1
Rennes,Christian Gourcuff,12,10,1.25,7-Nov-17,494,Sabri Lamouchi,5,1.65,Ligue 1
Metz,José Pinot,11,20,0,29-Oct-17,7,Frédéric Antonetti,-,-,Ligue 1
Metz,Philippe Hinschberger,10,20,0.3,22-Oct-17,669,José Pinot,20,0,Ligue 1
Guingamp,Jocelyn Gourvennec,37,20,0.83,22-May-19,191,Patrice Lair,-,-,Ligue 1
Bordeaux,Eric Bedouet,27,13,1.23,8-Mar-19,203,Paulo Sousa,14,0.8,Ligue 1
Bordeaux,Ricardo Gomes,-,-,-,26-Feb-19,174,Paulo Sousa,14,0.8,Ligue 1
Monaco,Franck Passi,22,19,0,27-Jan-19,2,Leonardo Jardim,17,1.31,Ligue 1
Monaco,Thierry Henry,21,19,0.75,24-Jan-19,103,Franck Passi,19,0,Ligue 1
Dijon,David Linarès,-,-,-,10-Jan-19,9,Antoine Kombouaré,18,0.9,Ligue 1
Dijon,Olivier Dall'Oglio,19,18,0.89,31-Dec-18,2404,David Linarès,-,-,Ligue 1
Rennes,Sabri Lamouchi,15,14,1.13,3-Dec-18,390,Julien Stéphan,10,1.52,Ligue 1
Guingamp,Vincent Rautureau,-,-,-,11-Nov-18,5,Jocelyn Gourvennec,20,0.83,Ligue 1
Guingamp,Sylvain Didot,13,20,0,11-Nov-18,5,Jocelyn Gourvennec,20,0.83,Ligue 1
Guingamp,Antoine Kombouaré,12,20,0.58,6-Nov-18,858,Vincent Rautureau,-,-,Ligue 1
Monaco,Leonardo Jardim,9,18,0.67,11-Oct-18,1563,Thierry Henry,19,0.75,Ligue 1
Nantes,Miguel Cardoso,8,19,0.75,2-Oct-18,111,Vahid Halilhodzic,12,1.4,Ligue 1
Bordeaux,Gustavo Poyet,1,18,0,17-Aug-18,209,Eric Bedouet,13,1.23,Ligue 1
Toulouse,Antoine Kombouaré,19,19,0.3,5-Jan-20,83,Denis Zanko,20,0.11,Ligue 1
Monaco,Leonardo Jardim,19,7,1.56,27-Dec-19,334,Robert Moreno,9,1.2,Ligue 1
Toulouse,Alain Casanova,9,18,1,10-Oct-19,472,Antoine Kombouaré,19,0.3,Ligue 1
Olympique Lyon,Sylvinho,9,14,1,7-Oct-19,98,Rudi Garcia,7,1.63,Ligue 1
AS Saint Etienne,Ghislain Printant,8,19,1,4-Oct-19,120,Claude Puel,17,1.1,Ligue 1
